"Date","Freq","moving.average.7.day"
2020-08-27,270,237.428571428571
2020-08-28,273,216.142857142857
2020-08-29,194,218.428571428571
2020-08-30,186,211.428571428571
2020-08-31,174,194.571428571429
2020-09-01,225,189.428571428571
2020-09-02,158,201.571428571429
2020-09-03,152,223.857142857143
2020-09-04,237,226.428571428571
2020-09-05,279,222.571428571429
2020-09-06,342,231
2020-09-07,192,246.142857142857
2020-09-08,198,235.571428571429
2020-09-09,217,213.142857142857
2020-09-10,258,195.857142857143
2020-09-11,163,204.571428571429
2020-09-12,122,189.714285714286
2020-09-13,221,171.428571428571
2020-09-14,253,145
2020-09-15,94,141.428571428571
2020-09-16,89,140.142857142857
2020-09-17,73,132.571428571429
2020-09-18,138,111.428571428571
2020-09-19,113,118.428571428571
2020-09-20,168,120.714285714286
2020-09-21,105,143
2020-09-22,143,155.571428571429
2020-09-23,105,181.285714285714
2020-09-24,229,179.285714285714
2020-09-25,226,181.857142857143
2020-09-26,293,182.571428571429
2020-09-27,154,184
2020-09-28,123,162
2020-09-29,148,152.428571428571
2020-09-30,115,132.428571428571
2020-10-01,75,124.285714285714
2020-10-02,159,118.428571428571
2020-10-03,153,116.285714285714
2020-10-04,97,121.142857142857
2020-10-05,82,131.285714285714
2020-10-06,133,125.714285714286
2020-10-07,149,120.714285714286
2020-10-08,146,116.142857142857
2020-10-09,120,113.857142857143
2020-10-10,118,116.857142857143
2020-10-11,65,131.714285714286
2020-10-12,66,148
2020-10-13,154,161.857142857143
2020-10-14,253,164
2020-10-15,260,172.714285714286
2020-10-16,217,192.857142857143
2020-10-17,133,202.571428571429
2020-10-18,126,192.571428571429
2020-10-19,207,171.714285714286
2020-10-20,222,184.714285714286
2020-10-21,183,208.142857142857
2020-10-22,114,229.714285714286
2020-10-23,308,226
2020-10-24,297,225.571428571429
2020-10-25,277,231.571428571429
2020-10-26,181,232.285714285714
2020-10-27,219,210.428571428571
2020-10-28,225,196.571428571429
2020-10-29,119,185
2020-10-30,155,186.714285714286
2020-10-31,200,184
2020-11-01,196,179.714285714286
2020-11-02,193,183.285714285714
2020-11-03,200,180.285714285714
2020-11-04,195,180.571428571429
2020-11-05,144,185.571428571429
2020-11-06,134,190.142857142857
2020-11-07,202,202.142857142857
2020-11-08,231,203.428571428571
2020-11-09,225,205.571428571429
2020-11-10,284,212
2020-11-11,204,211.428571428571
2020-11-12,159,205.285714285714
2020-11-13,179,223.571428571429
2020-11-14,198,239.285714285714
2020-11-15,188,268.285714285714
2020-11-16,353,300.571428571429
2020-11-17,394,318.428571428571
2020-11-18,407,337.142857142857
2020-11-19,385,344.857142857143
2020-11-20,304,329.857142857143
2020-11-21,329,317.714285714286
2020-11-22,242,298.142857142857
2020-11-23,248,272
2020-11-24,309,261.428571428571
2020-11-25,270,240.571428571429
2020-11-26,202,229.285714285714
2020-11-27,230,227.571428571429
2020-11-28,183,218.142857142857
2020-11-29,163,208.285714285714
2020-11-30,236,206.857142857143
2020-12-01,243,202.428571428571
2020-12-02,201,203.142857142857
2020-12-03,192,205.285714285714
2020-12-04,199,195.857142857143
2020-12-05,188,185.428571428571
2020-12-06,178,183.285714285714
2020-12-07,170,172
2020-12-08,170,180
2020-12-09,186,182.571428571429
2020-12-10,113,183.857142857143
2020-12-11,255,188.714285714286
2020-12-12,206,188.571428571429
2020-12-13,187,183.714285714286
2020-12-14,204,197.714285714286
2020-12-15,169,196.857142857143
2020-12-16,152,201.714285714286
2020-12-17,211,202
2020-12-18,249,192.428571428571
2020-12-19,240,192.142857142857
2020-12-20,189,192.142857142857
2020-12-21,137,184.714285714286
2020-12-22,167,160.428571428571
2020-12-23,152,145.428571428571
2020-12-24,159,146
2020-12-25,79,159
2020-12-26,135,165.714285714286
2020-12-27,193,181.714285714286
2020-12-28,228,183.714285714286
2020-12-29,214,209.714285714286
2020-12-30,264,234.571428571429
2020-12-31,173,246.714285714286
2021-01-01,261,248.857142857143
2021-01-02,309,242
2021-01-03,278,241
2021-01-04,243,247.142857142857
2021-01-05,166,236.857142857143
2021-01-06,257,242.428571428571
2021-01-07,216,257.857142857143
2021-01-08,189,252
2021-01-09,348,268.142857142857
2021-01-10,386,264.571428571429
2021-01-11,202,265.571428571429
2021-01-12,279,272.142857142857
2021-01-13,232,252
2021-01-14,223,234.571428571429
2021-01-15,235,245.571428571429
2021-01-16,207,257.142857142857
2021-01-17,264,274
2021-01-18,279,277.571428571429
2021-01-19,360,301.428571428571
2021-01-20,350,329.714285714286
2021-01-21,248,347.142857142857
2021-01-22,402,372.571428571429
2021-01-23,405,366.857142857143
2021-01-24,386,364.285714285714
2021-01-25,457,366.142857142857
2021-01-26,320,339.142857142857
2021-01-27,332,322.285714285714
2021-01-28,261,297.857142857143
2021-01-29,213,263.428571428571
2021-01-30,287,248.571428571429
2021-01-31,215,239.428571428571
2021-02-01,216,243.857142857143
2021-02-02,216,264.428571428571
2021-02-03,268,282.428571428571
2021-02-04,292,307.428571428571
2021-02-05,357,328.142857142857
2021-02-06,413,352
2021-02-07,390,359.857142857143
2021-02-08,361,353
2021-02-09,383,350.571428571429
2021-02-10,323,357.428571428571
2021-02-11,244,360.285714285714
2021-02-12,340,363.571428571429
2021-02-13,461,353.857142857143
2021-02-14,410,348
2021-02-15,384,347.571428571429
2021-02-16,315,334.857142857143
2021-02-17,282,314
2021-02-18,241,300.571428571429
2021-02-19,251,281.142857142857
2021-02-20,315,272.714285714286
2021-02-21,316,278.142857142857
2021-02-22,248,281.285714285714
2021-02-23,256,291
2021-02-24,320,277
2021-02-25,263,264.857142857143
2021-02-26,319,269.428571428571
2021-02-27,217,261.428571428571
2021-02-28,231,251
2021-03-01,280,252.428571428571
2021-03-02,200,250.142857142857
2021-03-03,247,252.142857142857
2021-03-04,273,263.714285714286
2021-03-05,303,275.142857142857
2021-03-06,231,289.571428571429
2021-03-07,312,300
2021-03-08,360,296.571428571429
2021-03-09,301,273.428571428571
2021-03-10,320,280
2021-03-11,249,245.857142857143
2021-03-12,141,219.428571428571
2021-03-13,277,194.857142857143
2021-03-14,73,181
2021-03-15,175,192.571428571429
2021-03-16,129,204
2021-03-17,223,212.142857142857
2021-03-18,330,247.285714285714
2021-03-19,221,251.857142857143
2021-03-20,334,253.857142857143
2021-03-21,319,244.571428571429
2021-03-22,207,221.714285714286
2021-03-23,143,220.857142857143
2021-03-24,158,207.428571428571
2021-03-25,170,202.142857142857
2021-03-26,215,209.857142857143
2021-03-27,240,220.714285714286
2021-03-28,282,233.714285714286
2021-03-29,261,232.285714285714
2021-03-30,219,225
2021-03-31,249,221.571428571429
2021-04-01,160,218.714285714286
2021-04-02,164,204.428571428571
2021-04-03,216,207.714285714286
2021-04-04,262,218.285714285714
2021-04-05,161,228.571428571429
2021-04-06,242,252.142857142857
2021-04-07,323,275
2021-04-08,232,288.857142857143
2021-04-09,329,313.428571428571
2021-04-10,376,324.142857142857
2021-04-11,359,320.857142857143
2021-04-12,333,332.285714285714
2021-04-13,317,344.571428571429
2021-04-14,300,343.857142857143
2021-04-15,312,333.571428571429
2021-04-16,415,326.142857142857
2021-04-17,371,317.428571428571
2021-04-18,287,320.285714285714
2021-04-19,281,327.285714285714
2021-04-20,256,316.714285714286
2021-04-21,320,316.285714285714
2021-04-22,361,331.142857142857
2021-04-23,341,327.142857142857
2021-04-24,368,319.142857142857
2021-04-25,391,310.285714285714
2021-04-26,253,296.142857142857
2021-04-27,200,288.285714285714
2021-04-28,258,285.142857142857
2021-04-29,262,272.714285714286
2021-04-30,286,287.714285714286
2021-05-01,346,297.428571428571
2021-05-02,304,298.714285714286
2021-05-03,358,314.571428571429
2021-05-04,268,317.857142857143
2021-05-05,267,315.285714285714
2021-05-06,373,313.571428571429
2021-05-07,309,310.285714285714
2021-05-08,328,316.857142857143
2021-05-09,292,323.571428571429
2021-05-10,335,316.142857142857
2021-05-11,314,318.428571428571
2021-05-12,314,315.142857142857
2021-05-13,321,317.571428571429
2021-05-14,325,310.428571428571
2021-05-15,305,296.857142857143
2021-05-16,309,287.285714285714
2021-05-17,285,268.142857142857
2021-05-18,219,265.428571428571
2021-05-19,247,263.142857142857
2021-05-20,187,263
2021-05-21,306,265.142857142857
2021-05-22,289,255.571428571429
2021-05-23,308,251.714285714286
2021-05-24,300,254.285714285714
2021-05-25,152,244.142857142857
2021-05-26,220,230
2021-05-27,205,212.714285714286
2021-05-28,235,204.571428571429
2021-05-29,190,210.571428571429
2021-05-30,187,202.142857142857
2021-05-31,243,193.571428571429
2021-06-01,194,192.571428571429
2021-06-02,161,196.142857142857
2021-06-03,145,184.857142857143
2021-06-04,228,172.285714285714
2021-06-05,215,170.428571428571
2021-06-06,108,165.857142857143
2021-06-07,155,160
2021-06-08,181,145.285714285714
2021-06-09,129,132.571428571429
2021-06-10,104,138.142857142857
2021-06-11,125,130.571428571429
2021-06-12,126,121.714285714286
2021-06-13,147,132.285714285714
2021-06-14,102,128.714285714286
2021-06-15,119,137.571428571429
2021-06-16,203,145
2021-06-17,79,157
2021-06-18,187,159.142857142857
2021-06-19,178,160.428571428571
2021-06-20,231,153.142857142857
2021-06-21,117,156.142857142857
2021-06-22,128,157
2021-06-23,152,165.142857142857
2021-06-24,100,141.285714285714
2021-06-25,193,161
2021-06-26,235,179.857142857143
2021-06-27,64,180
2021-06-28,255,182.428571428571
2021-06-29,260,179.428571428571
2021-06-30,153,155.428571428571
2021-07-01,117,161.142857142857
2021-07-02,172,132.142857142857
2021-07-03,67,110.571428571429
2021-07-04,104,109.857142857143
2021-07-05,52,112.571428571429
2021-07-06,109,107.714285714286
2021-07-07,148,125.285714285714
2021-07-08,136,145.428571428571
2021-07-09,138,172.285714285714
2021-07-10,190,184.428571428571
2021-07-11,245,175.571428571429
2021-07-12,240,158.285714285714
2021-07-13,194,143.285714285714
2021-07-14,86,122
2021-07-15,15,106.714285714286
2021-07-16,33,86.2857142857143
2021-07-17,41,73.7142857142857
2021-07-18,138,65.8571428571429
2021-07-19,97,73.1428571428571
2021-07-20,106,83.1428571428571
2021-07-21,31,84.8571428571429
2021-07-22,66,74
2021-07-23,103,82
2021-07-24,53,92.2857142857143
2021-07-25,62,102
2021-07-26,153,102
2021-07-27,178,107.428571428571
2021-07-28,99,118.571428571429
2021-07-29,66,139.714285714286
2021-07-30,141,144
2021-07-31,131,136
2021-08-01,210,130.428571428571
2021-08-02,183,129.714285714286
2021-08-03,122,133.428571428571
2021-08-04,60,150.714285714286
2021-08-05,61,149.571428571429
2021-08-06,167,158.285714285714
2021-08-07,252,168.571428571429
2021-08-08,202,189.428571428571
2021-08-09,244,206.857142857143
2021-08-10,194,206.714285714286
2021-08-11,206,202.285714285714
2021-08-12,183,219.285714285714
2021-08-13,166,215.142857142857
2021-08-14,221,203
2021-08-15,321,191.142857142857
2021-08-16,215,182.857142857143
2021-08-17,109,194.571428571429
2021-08-18,123,194.857142857143
2021-08-19,125,173.571428571429
2021-08-20,248,170.285714285714
2021-08-21,223,186.857142857143
2021-08-22,172,185.428571428571
2021-08-23,192,187.714285714286
2021-08-24,225,179.142857142857
2021-08-25,113,181.428571428571
2021-08-26,141,197.714285714286
2021-08-27,188,203.285714285714
2021-08-28,239,199
2021-08-29,286,203.285714285714
2021-08-30,231,206.714285714286
2021-08-31,195,200
2021-09-01,143,196.571428571429
2021-09-02,165,183.714285714286
2021-09-03,141,186.571428571429
2021-09-04,215,181.857142857143
2021-09-05,196,190
2021-09-06,251,182.285714285714
2021-09-07,162,184.571428571429
2021-09-08,200,185.857142857143
2021-09-09,111,185.857142857143
2021-09-10,157,171.857142857143
2021-09-11,224,184
2021-09-12,196,178.428571428571
2021-09-13,153,180.285714285714
2021-09-14,247,180.285714285714
2021-09-15,161,160.428571428571
2021-09-16,124,151.285714285714
2021-09-17,157,150.571428571429
2021-09-18,85,142.428571428571
2021-09-19,132,143
2021-09-20,148,147.428571428571
2021-09-21,190,153.714285714286
2021-09-22,165,158.142857142857
2021-09-23,155,152.142857142857
2021-09-24,201,135.714285714286
2021-09-25,116,109.857142857143
2021-09-26,90,97
2021-09-27,33,103
2021-09-28,9,113.142857142857
2021-09-29,75,116.285714285714
2021-09-30,197,106.428571428571
2021-10-01,272,104.428571428571
2021-10-02,138,115.142857142857
2021-10-03,21,121.428571428571
2021-10-04,19,105.714285714286
2021-10-05,84,87.8571428571429
2021-10-06,119,83.5714285714286
2021-10-07,87,92.5714285714286
2021-10-08,147,111.571428571429
2021-10-09,108,120.857142857143
2021-10-10,84,121.714285714286
2021-10-11,152,118.285714285714
2021-10-12,149,123.857142857143
2021-10-13,125,139.285714285714
2021-10-14,63,155.428571428571
2021-10-15,186,156.714285714286
2021-10-16,216,150
2021-10-17,197,149.857142857143
2021-10-18,161,161.857142857143
2021-10-19,102,155.571428571429
2021-10-20,124,142.428571428571
2021-10-21,147,129
2021-10-22,142,119.142857142857
2021-10-23,124,111.857142857143
2021-10-24,103,102.142857142857
2021-10-25,92,88.2857142857143
2021-10-26,51,81
2021-10-27,56,90.7142857142857
2021-10-28,50,87.5714285714286
2021-10-29,91,88.4285714285714
2021-10-30,192,99
2021-10-31,81,118.571428571429
2021-11-01,98,138.714285714286
2021-11-02,125,145.285714285714
2021-11-03,193,130.571428571429
2021-11-04,191,126.142857142857
2021-11-05,137,132.714285714286
2021-11-06,89,159
2021-11-07,50,158.142857142857
2021-11-08,144,160.285714285714
2021-11-09,309,179.285714285714
2021-11-10,187,201.857142857143
2021-11-11,206,223.571428571429
2021-11-12,270,230.857142857143
2021-11-13,247,204.714285714286
2021-11-14,202,202
2021-11-15,195,200.857142857143
2021-11-16,126,169.142857142857
2021-11-17,168,NA
2021-11-18,198,NA
2021-11-19,48,NA
